weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.889,-0.24,-0.345,-0.081,-0.85,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3743.0
-0.889,-0.853,-0.669,-0.098,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",979.0
-0.608,-0.853,-0.345,-0.081,-0.728,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3483.0
-0.889,-0.853,-0.419,-0.081,0.738,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3459.0
-0.608,-0.123,-0.638,-0.729,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",2607.0
-0.889,-0.853,-0.638,-0.081,0.049,-0.766,0.945,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",898.0
-0.608,-0.853,-0.872,-0.081,0.794,-0.678,0.177,-0.176,"[0, 1, 2, 3, 4, 5, 6, 7]",2523.0
-0.608,-0.853,-0.638,-0.86,0.794,0.02,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3486.0
-0.889,-0.853,-0.669,-0.081,-0.85,-0.766,-0.321,-0.248,"[0, 1, 2, 3, 4, 5, 6, 7]",3440.0
-0.608,-0.853,-0.669,-0.081,-0.18,-0.805,0.948,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",649.0
-0.889,-0.24,-0.638,-0.081,0.794,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3546.0
-0.889,-0.24,-0.669,-0.081,-0.85,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3592.0
-0.608,-0.853,-0.872,-0.729,0.359,-0.678,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3538.0
-0.608,-0.853,-0.638,0.735,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3549.0
-0.608,-0.853,-0.638,-0.081,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3571.0
-0.608,-0.853,-0.638,-0.729,-0.18,-0.805,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3558.0
-0.559,-0.853,-0.669,-0.081,-0.85,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3543.0
-0.608,-0.24,-0.638,-0.081,-0.424,-0.766,0.403,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",1769.0
-0.608,-0.438,-0.638,-0.729,0.794,-0.766,-0.321,0.08,"[0, 1, 2, 3, 4, 5, 6, 7]",3337.0
-0.608,-0.853,-0.638,-0.081,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3554.0
