weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.992,-0.853,-0.669,-0.729,-0.498,0.116,0.514,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3550.0
-0.161,-0.897,-0.949,0.647,0.185,-0.006,0.058,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",2859.0
-0.992,-0.853,-0.669,-0.729,-0.498,0.116,0.21,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3450.0
0.126,-0.621,-0.638,-0.587,-0.83,-0.006,-0.096,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",3561.0
0.126,-0.621,-0.949,0.816,0.15,-0.13,-0.461,0.382,"[0, 1, 2, 3, 4, 5, 6, 7]",3506.0
0.15,-0.897,-0.949,-0.587,0.15,0.429,-0.096,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",923.0
0.15,-0.452,-0.949,-0.729,0.15,-0.006,0.058,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",1297.0
-0.992,-0.853,-0.669,-0.729,-0.498,0.116,0.21,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3457.0
-0.992,-0.603,-0.949,-0.729,0.15,0.116,-0.461,0.966,"[0, 1, 2, 3, 4, 5, 6, 7]",593.0
0.126,-0.853,-0.669,0.644,-0.18,0.116,0.514,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",751.0
0.126,-0.603,-0.669,0.909,-0.18,0.429,-0.461,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",3517.0
0.126,0.805,-0.635,-0.435,-0.18,-0.006,-0.461,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",190.0
0.126,-0.621,-0.638,0.816,0.15,0.116,0.514,0.966,"[0, 1, 2, 3, 4, 5, 6, 7]",208.0
0.126,-0.853,-0.949,0.644,-0.711,0.429,-0.461,0.903,"[0, 1, 2, 3, 4, 5, 6, 7]",407.0
-0.992,-0.621,-0.638,-0.729,-0.498,-0.006,-0.461,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",3441.0
0.15,-0.293,-0.949,-0.587,0.15,-0.134,-0.461,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",1110.0
0.709,-0.853,-0.638,0.644,-0.658,0.429,0.21,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",382.0
0.126,-0.621,-0.638,0.644,-0.18,0.429,-0.461,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",440.0
0.126,-0.853,-0.669,0.816,0.15,0.116,0.398,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",598.0
-0.161,-0.452,-0.565,-0.435,-0.18,-0.006,-0.096,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3460.0
