weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.796,-0.546,-0.638,-0.729,-0.498,-0.695,-0.59,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3580.0
-0.796,-0.621,0.296,-0.142,0.741,0.243,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",174.0
-0.992,-0.853,-0.638,-0.729,-0.18,-0.766,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3451.0
-0.796,-0.621,-0.301,-0.729,0.773,0.18,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3403.0
-0.796,-0.546,-0.638,-0.081,-0.498,-0.695,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3574.0
-0.796,-0.853,-0.638,-0.729,0.359,-0.006,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3556.0
-0.992,-0.621,-0.669,-0.729,0.773,-0.006,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3407.0
-0.052,-0.797,-0.638,-0.729,-0.911,0.355,-0.382,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3498.0
-0.992,-0.853,-0.669,0.267,-0.18,-0.766,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3447.0
-0.648,-0.034,-0.669,0.267,0.987,0.18,-0.461,0.126,"[0, 1, 2, 3, 4, 5, 6, 7]",3530.0
-0.343,-0.621,-0.638,-0.081,0.987,-0.006,0.484,-0.578,"[0, 1, 2, 3, 4, 5, 6, 7]",558.0
-0.23,-0.853,-0.669,-0.729,0.773,-0.006,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3655.0
-0.343,-0.621,-0.638,-0.729,0.099,-0.766,-0.321,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3508.0
-0.315,-0.621,-0.638,0.472,0.987,0.509,-0.321,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",1921.0
-0.608,-0.853,-0.638,0.244,-0.18,-0.766,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3468.0
-0.992,0.04,-0.638,-0.729,-0.18,0.725,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",238.0
-0.796,-0.546,-0.669,0.244,-0.18,0.252,-0.59,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3541.0
-0.796,-0.853,-0.669,-0.729,-0.18,0.18,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3519.0
-0.796,-0.621,-0.669,0.59,0.987,-0.006,-0.321,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3399.0
-0.796,-0.667,0.961,-0.729,-0.18,-0.006,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",205.0
