weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
0.769,0.808,-0.395,0.691,0.891,0.995,0.846,0.202,"[0, 1, 2, 3, 4, 5, 6, 7]",201.0
0.193,0.747,0.946,0.281,0.453,-0.484,-0.968,0.745,"[0, 1, 2, 3, 4, 5, 6, 7]",151.0
0.318,0.956,0.121,0.333,0.146,0.093,0.287,0.72,"[0, 1, 2, 3, 4, 5, 6, 7]",202.0
0.374,0.485,-0.638,0.644,0.871,-0.006,0.742,-0.396,"[0, 1, 2, 3, 4, 5, 6, 7]",242.0
0.756,0.923,0.124,-0.326,-0.206,-0.571,0.328,-0.509,"[0, 1, 2, 3, 4, 5, 6, 7]",188.0
-0.341,0.305,0.273,0.874,-0.89,0.814,-0.957,-0.159,"[0, 1, 2, 3, 4, 5, 6, 7]",126.0
0.813,0.547,-0.478,-0.445,-0.921,0.218,0.291,-0.817,"[0, 1, 2, 3, 4, 5, 6, 7]",152.0
-0.171,0.196,0.214,-0.69,-0.867,0.667,0.841,0.212,"[0, 1, 2, 3, 4, 5, 6, 7]",177.0
0.425,-0.482,-0.669,-0.8,0.15,0.584,0.248,0.966,"[0, 1, 2, 3, 4, 5, 6, 7]",315.0
0.126,-0.897,-0.565,0.893,-0.18,0.429,-0.637,0.346,"[0, 1, 2, 3, 4, 5, 6, 7]",244.0
0.15,-0.053,-0.712,-0.587,-0.658,-0.13,0.874,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",269.0
0.744,-0.853,-0.313,-0.435,-0.132,0.116,0.514,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",422.0
-0.088,-0.865,0.775,0.87,-0.344,0.225,-0.857,0.608,"[0, 1, 2, 3, 4, 5, 6, 7]",138.0
-0.975,0.853,0.584,0.116,-0.311,0.963,0.075,0.593,"[0, 1, 2, 3, 4, 5, 6, 7]",124.0
0.653,-0.15,0.653,0.084,0.044,0.547,0.698,0.677,"[0, 1, 2, 3, 4, 5, 6, 7]",124.0
0.359,0.676,0.686,0.949,-0.517,0.353,-0.426,0.597,"[0, 1, 2, 3, 4, 5, 6, 7]",137.0
-0.297,0.719,0.15,-0.668,-0.992,0.183,0.982,-0.492,"[0, 1, 2, 3, 4, 5, 6, 7]",178.0
0.003,-0.318,0.474,0.319,0.012,-0.091,0.276,0.28,"[0, 1, 2, 3, 4, 5, 6, 7]",193.0
0.092,0.145,-0.949,-0.642,-0.447,0.811,-0.461,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",341.0
-0.992,0.355,-0.258,-0.729,0.838,0.446,0.388,0.954,"[0, 1, 2, 3, 4, 5, 6, 7]",200.0
