weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
0.744,-0.853,-0.313,-0.435,-0.132,0.116,0.514,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",379.0
0.15,-0.897,-0.565,-0.277,-0.658,-0.13,0.874,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",399.0
-0.992,0.355,-0.669,-0.729,0.15,-0.309,0.248,0.966,"[0, 1, 2, 3, 4, 5, 6, 7]",212.0
-0.992,0.355,-0.669,-0.729,0.15,0.446,0.388,0.966,"[0, 1, 2, 3, 4, 5, 6, 7]",247.0
0.374,-0.853,-0.638,-0.435,-0.132,-0.006,0.514,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",888.0
0.318,0.355,-0.258,0.333,0.838,0.446,0.287,0.72,"[0, 1, 2, 3, 4, 5, 6, 7]",178.0
0.166,0.956,-0.481,0.333,0.146,-0.091,0.276,0.927,"[0, 1, 2, 3, 4, 5, 6, 7]",191.0
0.092,0.583,0.627,0.644,-0.447,-0.006,0.742,-0.396,"[0, 1, 2, 3, 4, 5, 6, 7]",160.0
0.6,0.808,-0.638,0.644,0.871,-0.006,0.742,0.202,"[0, 1, 2, 3, 4, 5, 6, 7]",217.0
0.003,0.145,0.474,0.319,0.012,0.811,0.276,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",210.0
0.318,0.956,-0.258,-0.729,0.146,0.093,0.388,0.72,"[0, 1, 2, 3, 4, 5, 6, 7]",186.0
0.769,0.808,-0.395,0.691,0.146,0.093,0.287,0.202,"[0, 1, 2, 3, 4, 5, 6, 7]",187.0
0.318,-0.853,-0.313,0.333,0.146,0.116,0.514,0.72,"[0, 1, 2, 3, 4, 5, 6, 7]",277.0
0.126,-0.897,-0.949,0.816,-0.18,0.429,-0.461,-0.556,"[0, 1, 2, 3, 4, 5, 6, 7]",2873.0
-0.816,0.355,0.121,0.333,0.838,0.093,0.388,0.954,"[0, 1, 2, 3, 4, 5, 6, 7]",138.0
0.744,-0.853,0.121,0.333,-0.132,0.093,0.514,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",161.0
0.769,0.808,-0.258,0.691,-0.513,0.446,0.086,0.202,"[0, 1, 2, 3, 4, 5, 6, 7]",151.0
0.318,-0.897,0.121,0.893,-0.18,0.093,-0.637,0.72,"[0, 1, 2, 3, 4, 5, 6, 7]",196.0
0.318,0.956,-0.638,0.333,0.146,0.093,0.742,-0.396,"[0, 1, 2, 3, 4, 5, 6, 7]",192.0
0.15,-0.482,-0.669,-0.587,0.15,0.584,0.248,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",333.0
