weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.889,-0.177,-0.262,-0.081,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3884.0
-0.889,-0.177,-0.402,-0.11,-0.265,-0.351,-0.321,0.732,"[0, 1, 2, 3, 4, 5, 6, 7]",235.0
-0.559,-0.177,-0.262,-0.729,-0.663,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3996.0
-0.889,-0.177,-0.669,-0.081,-0.663,-0.373,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3547.0
-0.889,-0.177,-0.985,-0.729,-0.663,-0.766,-0.867,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3636.0
-0.588,-0.177,-0.999,-0.729,0.045,-0.109,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3582.0
-0.588,-0.853,-0.999,-0.914,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3551.0
-0.889,-0.177,-0.262,-0.11,-0.265,-0.529,0.274,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3492.0
-0.889,-0.177,-0.262,-0.081,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",2151.0
-0.559,-0.177,0.66,-0.081,-0.105,-0.766,-0.751,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",149.0
-0.559,-0.24,-0.262,-0.729,-0.105,0.886,-0.494,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",173.0
0.184,-0.24,-0.638,-0.081,-0.663,-0.766,-0.422,-0.372,"[0, 1, 2, 3, 4, 5, 6, 7]",3567.0
-0.588,-0.853,-0.999,-0.081,-0.06,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3536.0
-0.211,-0.177,-0.262,-0.081,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3581.0
-0.588,-0.24,-0.638,-0.081,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3827.0
-0.559,0.793,-0.262,-0.729,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",419.0
-0.889,-0.24,-0.262,-0.729,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3485.0
-0.608,-0.177,-0.262,-0.081,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",1190.0
-0.889,-0.24,-0.638,-0.081,-0.663,-0.766,-0.751,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3744.0
-0.588,-0.24,-0.669,-0.081,-0.265,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3685.0
