weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.889,-0.24,-0.345,-0.081,-0.85,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3455.0
-0.608,-0.24,-0.638,-0.729,-0.347,-0.805,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3588.0
-0.943,0.86,-0.638,0.176,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",386.0
0.876,-0.853,-0.638,-0.729,-0.85,-0.766,0.177,-0.601,"[0, 1, 2, 3, 4, 5, 6, 7]",1101.0
-0.608,-0.853,-0.669,0.176,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3473.0
-0.889,-0.853,-0.638,-0.081,-0.663,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3449.0
-0.889,-0.177,-0.262,-0.729,-0.18,-0.805,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3961.0
-0.889,-0.24,-0.638,-0.41,0.814,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3509.0
-0.608,-0.24,-0.638,-0.081,-0.347,-0.766,-0.187,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3625.0
-0.608,-0.853,-0.638,-0.081,-0.18,-0.766,-0.882,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3441.0
-0.608,-0.425,-0.669,-0.515,0.433,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3596.0
-0.967,-0.557,-0.669,-0.86,-0.754,-0.766,-0.321,0.514,"[0, 1, 2, 3, 4, 5, 6, 7]",812.0
-0.608,-0.24,-0.638,-0.081,-0.347,-0.766,-0.321,-0.343,"[0, 1, 2, 3, 4, 5, 6, 7]",249.0
-0.559,0.486,-0.638,0.176,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",474.0
-0.559,-0.24,-0.669,-0.729,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3635.0
-0.608,-0.24,-0.638,-0.729,-0.85,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3490.0
-0.608,-0.194,-0.638,0.359,-0.18,-0.766,-0.321,0.705,"[0, 1, 2, 3, 4, 5, 6, 7]",223.0
-0.588,-0.853,-0.638,-0.081,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3649.0
-0.889,-0.24,-0.345,-0.729,-0.18,-0.805,-0.321,-0.559,"[0, 1, 2, 3, 4, 5, 6, 7]",199.0
-0.608,-0.194,-0.638,-0.729,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",1779.0
