weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.889,-0.24,-0.345,-0.081,-0.85,-0.766,-0.653,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3698.0
0.035,-0.853,-0.638,-0.081,-0.85,-0.766,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3573.0
-0.588,-0.853,-0.638,-0.081,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3586.0
-0.608,-0.853,-0.638,0.19,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3359.0
-0.608,-0.853,-0.872,-0.729,0.359,-0.678,0.177,0.436,"[0, 1, 2, 3, 4, 5, 6, 7]",3473.0
-0.608,-0.853,-0.638,0.176,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3585.0
-0.608,-0.24,-0.638,-0.081,-0.347,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3592.0
-0.559,-0.924,-0.638,-0.704,0.794,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3421.0
-0.559,-0.853,-0.669,-0.729,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3540.0
-0.608,-0.853,-0.638,-0.729,-0.85,-0.805,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3575.0
-0.608,-0.853,-0.638,-0.081,-0.18,-0.805,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3481.0
-0.608,-0.853,-0.345,0.773,-0.85,0.784,0.177,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",252.0
-0.608,-0.853,-0.872,-0.081,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3510.0
-0.559,-0.853,-0.669,-0.081,-0.85,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3462.0
-0.608,0.011,-0.638,-0.729,-0.18,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",735.0
-0.889,-0.24,-0.669,-0.41,-0.754,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3614.0
-0.608,-0.853,-0.638,-0.729,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3491.0
-0.608,-0.177,-0.638,-0.729,-0.18,-0.805,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3674.0
-0.608,-0.194,-0.669,-0.86,-0.85,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3579.0
-0.559,-0.853,-0.669,0.735,0.359,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3505.0
