weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
0.126,-0.621,-0.638,-0.435,-0.83,-0.006,-0.096,0.078,"[0, 1, 2, 3, 4, 5, 6, 7]",3582.0
-0.992,-0.621,-0.669,-0.729,-0.18,-0.006,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3444.0
-0.796,-0.621,-0.638,-0.729,-0.83,-0.006,-0.096,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",3418.0
0.799,0.909,-0.949,-0.729,0.601,0.243,-0.461,0.382,"[0, 1, 2, 3, 4, 5, 6, 7]",166.0
-0.161,-0.853,-0.669,0.909,-0.18,0.429,0.514,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",542.0
-0.161,-0.853,-0.669,-0.729,-0.18,0.429,-0.059,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3511.0
-0.161,-0.897,-0.949,-0.32,0.185,0.116,0.654,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",547.0
0.126,-0.621,-0.638,-0.435,-0.83,0.243,-0.461,0.078,"[0, 1, 2, 3, 4, 5, 6, 7]",3503.0
0.126,-0.621,-0.638,-0.435,-0.83,-0.13,-0.461,-0.013,"[0, 1, 2, 3, 4, 5, 6, 7]",3434.0
-0.992,-0.621,-0.669,0.909,-0.498,0.429,0.514,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",1918.0
-0.992,-0.621,-0.669,-0.435,-0.83,0.429,0.591,0.733,"[0, 1, 2, 3, 4, 5, 6, 7]",1656.0
-0.992,-0.621,-0.669,-0.661,-0.83,0.116,0.018,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3573.0
-0.796,-0.621,-0.638,-0.729,-0.498,-0.006,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3542.0
-0.796,-0.621,-0.638,-0.729,-0.669,-0.006,-0.461,0.078,"[0, 1, 2, 3, 4, 5, 6, 7]",3488.0
-0.992,-0.621,-0.669,0.909,-0.18,0.429,0.514,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",1384.0
0.126,-0.809,-0.949,-0.435,0.15,0.243,-0.493,0.078,"[0, 1, 2, 3, 4, 5, 6, 7]",3487.0
0.126,-0.621,-0.638,-0.587,-0.83,-0.006,-0.096,0.118,"[0, 1, 2, 3, 4, 5, 6, 7]",3532.0
-0.796,-0.603,-0.949,0.909,0.299,-0.13,-0.461,0.96,"[0, 1, 2, 3, 4, 5, 6, 7]",2270.0
0.126,-0.853,-0.807,-0.435,-0.83,0.429,0.514,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",342.0
-0.992,-0.621,-0.638,-0.435,0.13,-0.006,-0.096,-0.982,"[0, 1, 2, 3, 4, 5, 6, 7]",3423.0
