weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.796,-0.621,-0.638,-0.081,-0.18,0.243,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3634.0
-0.796,-0.621,-0.301,-0.729,-0.18,0.18,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3533.0
-0.608,-0.853,-0.669,0.244,-0.18,0.243,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3572.0
-0.796,-0.621,-0.669,-0.729,-0.18,-0.006,-0.189,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3376.0
-0.992,-0.621,-0.669,-0.729,0.987,-0.006,-0.461,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3431.0
-0.796,-0.797,-0.669,-0.729,-0.18,0.18,-0.096,0.89,"[0, 1, 2, 3, 4, 5, 6, 7]",1082.0
-0.796,-0.621,-0.638,-0.729,0.773,-0.766,-0.461,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3445.0
-0.796,-0.621,-0.82,0.176,-0.18,0.243,-0.137,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3478.0
-0.796,-0.853,-0.669,-0.729,-0.18,0.209,-0.442,0.066,"[0, 1, 2, 3, 4, 5, 6, 7]",3360.0
-0.992,-0.853,-0.669,0.267,0.987,0.18,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3530.0
-0.343,-0.621,-0.638,-0.081,0.987,-0.006,-0.321,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3630.0
-0.796,-0.621,-0.669,-0.729,0.773,-0.006,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3531.0
-0.796,-0.797,0.346,-0.729,0.298,0.143,-0.025,0.999,"[0, 1, 2, 3, 4, 5, 6, 7]",138.0
-0.796,-0.797,-0.669,-0.729,0.987,0.243,-0.382,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3538.0
-0.343,0.933,-0.524,-0.729,0.987,-0.006,-0.096,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",203.0
-0.796,-0.546,-0.638,-0.729,-0.498,-0.695,-0.59,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3645.0
-0.796,-0.621,-0.638,-0.081,0.773,-0.766,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3561.0
-0.343,-0.853,-0.638,-0.729,-0.18,0.243,-0.461,-0.83,"[0, 1, 2, 3, 4, 5, 6, 7]",3439.0
-0.796,-0.621,-0.669,-0.081,-0.18,-0.006,-0.096,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3434.0
-0.992,-0.853,-0.638,-0.729,-0.18,-0.766,-0.461,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3551.0
